date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2018-01-01,18,2018,1,01-01,3,15,1,Mon,0
2018-01-02,8,2018,1,01-02,2,6,1,Tue,0
2018-01-03,10,2018,1,01-03,4,6,1,Wed,0
2018-01-04,11,2018,1,01-04,4,7,1,Thu,0
2018-01-05,12,2018,1,01-05,2,10,1,Fri,0
2018-01-06,10,2018,1,01-06,0,10,1,Sat,1
2018-01-07,17,2018,1,01-07,5,12,1,Sun,1
2018-01-08,11,2018,1,01-08,1,10,1,Mon,0
2018-01-09,15,2018,1,01-09,6,9,1,Tue,0
2018-01-10,14,2018,1,01-10,4,10,1,Wed,0
2018-01-11,11,2018,1,01-11,3,8,1,Thu,0
2018-01-12,9,2018,1,01-12,3,6,1,Fri,0
2018-01-13,19,2018,1,01-13,7,12,1,Sat,1
2018-01-14,14,2018,1,01-14,2,12,1,Sun,1
2018-01-15,8,2018,1,01-15,1,7,1,Mon,0
2018-01-16,12,2018,1,01-16,6,6,1,Tue,0
2018-01-17,15,2018,1,01-17,3,12,1,Wed,0
2018-01-18,10,2018,1,01-18,1,9,1,Thu,0
2018-01-19,14,2018,1,01-19,7,7,1,Fri,0
2018-01-20,9,2018,1,01-20,5,4,1,Sat,1
2018-01-21,6,2018,1,01-21,1,5,1,Sun,1
2018-01-22,6,2018,1,01-22,1,5,1,Mon,0
2018-01-23,7,2018,1,01-23,3,4,1,Tue,0
2018-01-24,7,2018,1,01-24,1,6,1,Wed,0
2018-01-25,9,2018,1,01-25,3,6,1,Thu,0
2018-01-26,11,2018,1,01-26,2,9,1,Fri,0
2018-01-27,11,2018,1,01-27,1,10,1,Sat,1
2018-01-28,15,2018,1,01-28,1,14,1,Sun,1
2018-01-29,10,2018,1,01-29,2,8,1,Mon,0
2018-01-30,11,2018,1,01-30,4,7,1,Tue,0
2018-01-31,8,2018,1,01-31,1,7,1,Wed,0
2018-02-01,9,2018,2,02-01,1,8,1,Thu,0
2018-02-02,6,2018,2,02-02,2,4,1,Fri,0
2018-02-03,7,2018,2,02-03,3,4,1,Sat,1
2018-02-04,11,2018,2,02-04,2,9,1,Sun,1
2018-02-05,8,2018,2,02-05,2,6,1,Mon,0
2018-02-06,9,2018,2,02-06,2,7,1,Tue,0
2018-02-07,14,2018,2,02-07,4,10,1,Wed,0
2018-02-08,9,2018,2,02-08,2,7,1,Thu,0
2018-02-09,7,2018,2,02-09,2,5,1,Fri,0
2018-02-10,23,2018,2,02-10,6,17,1,Sat,1
2018-02-11,12,2018,2,02-11,2,10,1,Sun,1
2018-02-12,5,2018,2,02-12,2,3,1,Mon,0
2018-02-13,5,2018,2,02-13,2,3,1,Tue,0
2018-02-14,11,2018,2,02-14,5,6,1,Wed,0
2018-02-15,10,2018,2,02-15,2,8,1,Thu,0
2018-02-16,9,2018,2,02-16,4,5,1,Fri,0
2018-02-17,10,2018,2,02-17,1,9,1,Sat,1
2018-02-18,8,2018,2,02-18,0,8,1,Sun,1
2018-02-19,10,2018,2,02-19,1,9,1,Mon,0
2018-02-20,12,2018,2,02-20,2,10,1,Tue,0
2018-02-21,14,2018,2,02-21,4,10,1,Wed,0
2018-02-22,12,2018,2,02-22,5,7,1,Thu,0
2018-02-23,14,2018,2,02-23,5,9,1,Fri,0
2018-02-24,8,2018,2,02-24,2,6,1,Sat,1
2018-02-25,11,2018,2,02-25,4,7,1,Sun,1
2018-02-26,6,2018,2,02-26,1,5,1,Mon,0
2018-02-27,8,2018,2,02-27,3,5,1,Tue,0
2018-02-28,17,2018,2,02-28,5,12,1,Wed,0
2018-03-01,12,2018,3,03-01,5,7,1,Thu,0
2018-03-02,8,2018,3,03-02,2,6,1,Fri,0
2018-03-03,8,2018,3,03-03,0,8,1,Sat,1
